,Accuracy_BP,Accuracy_FA,Cost_BP,Cost_FA
0,0.8943,0.8233,0.3769696262894905,0.626854442130432
1,0.925,0.8693,0.2619449689060517,0.4448539709404075
2,0.9362,0.8865,0.22456862889350432,0.38944735834293814
3,0.9474,0.8964,0.18223066415320965,0.3576201168806665
4,0.951,0.9019,0.16437336278294648,0.3347905460329993
5,0.9581,0.9076,0.14900464329133747,0.3201717711625589
6,0.9607,0.9126,0.1345500018941159,0.3046387246804061
7,0.9589,0.9165,0.13738191379107717,0.28885086807669247
8,0.968,0.9174,0.11458326933604647,0.27969037070341113
9,0.9669,0.9219,0.1141752880476989,0.27010938965668
10,0.9688,0.9237,0.11205232864107115,0.2610073719334858
11,0.971,0.925,0.10491935643345418,0.25901926032082867
12,0.9721,0.9306,0.09826143970473716,0.24592864976931209
13,0.9724,0.932,0.09665741573681025,0.23873503295557708
14,0.9712,0.9329,0.10042994108134105,0.2337407685433352
15,0.9724,0.932,0.09487437651586288,0.2313404962291213
16,0.9743,0.9367,0.09405757929996902,0.2229502923949497
17,0.973,0.938,0.09321542801817155,0.22020766337837044
18,0.972,0.9395,0.0962339677358645,0.2136626809359891
19,0.9745,0.942,0.09132585923644931,0.2081906217188585
20,0.9741,0.9401,0.09240233522839596,0.2112071258905973
21,0.9723,0.9421,0.09903057355633266,0.20264820460710598
22,0.9724,0.9437,0.09536135923701868,0.19932740654756873
23,0.9726,0.9438,0.09783067512045483,0.19682017246551517
24,0.9725,0.9471,0.0964240310763709,0.19182140017787916
25,0.9747,0.9484,0.09189054510944782,0.18911708224648363
26,0.9744,0.9446,0.09957157983087947,0.18887032995014405
27,0.9751,0.9454,0.09539590219850062,0.18840834927910236
28,0.9749,0.947,0.09516469202326822,0.18315120466160104
29,0.9739,0.9455,0.09664516644873178,0.18426323251211157
30,0.9752,0.9491,0.09867655201283895,0.17787841542537097
31,0.9737,0.9479,0.09843878398586696,0.17887956093167517
32,0.9739,0.9505,0.09734941144238492,0.17272990821563336
33,0.9746,0.9515,0.09887649157319787,0.17094308615767587
34,0.9728,0.9524,0.10872921634214022,0.16853331112587197
35,0.9749,0.9529,0.10050813698533866,0.16717169897152923
36,0.9747,0.952,0.10031808362176535,0.16605905210422953
37,0.974,0.9522,0.10261877769099806,0.16564748667015902
38,0.975,0.9541,0.10029152066384121,0.1620321724754915
39,0.9749,0.9523,0.10214723619537042,0.16312611161364907
40,0.9749,0.9543,0.10379198410366174,0.16106261371694505
41,0.9746,0.9547,0.10548584283440891,0.16003281905517755
42,0.975,0.9546,0.10617576149627089,0.15780760746291314
43,0.9756,0.9548,0.1076759751243369,0.15788842552572926
44,0.9753,0.9548,0.10712129397868204,0.15776674007051272
45,0.9747,0.9562,0.10747852568255994,0.1534603879068765
46,0.9752,0.9544,0.10970697222923405,0.15675338418009296
47,0.9747,0.9556,0.11011279807972096,0.15429834715544777
48,0.9751,0.9566,0.11040914480363051,0.15209074178318974
49,0.9753,0.9546,0.11113367033413378,0.1525155715310552
